"","date","carrier","flight_num","origin","dest","dest_state","sched_dep","dep","sched_arr","arr","cancelled","canc_code","distance","weekday","dep_delay","arr_delay"
"79",2017-12-23,"DL",1367,11986,10397,34,2018-11-12 11:15:00,2018-11-12 11:09:00,2018-11-12 13:29:00,2018-11-12 13:18:00,0,NA,640,"Saturday",-360,-660
"80",2017-11-16,"EV",4263,12177,12266,74,2018-11-12 14:10:00,2018-11-12 14:03:00,2018-11-12 16:44:00,2018-11-12 16:25:00,0,NA,501,"Thursday",-420,-1140
"81",2017-10-24,"UA",288,13930,10257,22,2018-11-12 13:51:00,2018-11-12 13:50:00,2018-11-12 16:52:00,2018-11-12 16:49:00,0,NA,723,"Tuesday",-60,-180
"82",2017-11-29,"EV",4342,15412,12266,74,2018-11-12 11:55:00,2018-11-12 12:00:00,2018-11-12 13:32:00,2018-11-12 13:18:00,0,NA,771,"Wednesday",300,-840
"83",2017-10-06,"AA",259,11298,14771,91,2018-11-12 10:55:00,2018-11-12 10:52:00,2018-11-12 12:45:00,2018-11-12 12:35:00,0,NA,1464,"Friday",-180,-600
"84",2017-11-07,"WN",395,11259,13871,65,2018-11-12 14:15:00,2018-11-12 14:20:00,2018-11-12 15:55:00,2018-11-12 15:53:00,0,NA,585,"Tuesday",300,-120
"85",2017-11-04,"NK",927,13930,13204,33,2018-11-12 10:27:00,2018-11-12 10:21:00,2018-11-12 14:05:00,2018-11-12 13:52:00,0,NA,1005,"Saturday",-360,-780
"86",2017-10-17,"B6",1289,11618,14843,3,2018-11-12 09:00:00,2018-11-12 08:50:00,2018-11-12 12:52:00,2018-11-12 13:06:00,0,NA,1608,"Tuesday",-600,840
"87",2017-10-12,"AA",1667,11292,12892,91,2018-11-12 14:20:00,2018-11-12 14:21:00,2018-11-12 15:57:00,2018-11-12 15:42:00,0,NA,862,"Thursday",60,-900
"88",2017-12-06,"UA",1983,14635,11618,21,2018-11-12 16:19:00,2018-11-12 16:16:00,2018-11-12 19:15:00,2018-11-12 19:09:00,0,NA,1068,"Wednesday",-180,-360
"89",2017-10-07,"AS",815,14747,12982,2,2018-11-12 17:45:00,2018-11-12 17:33:00,2018-11-12 21:00:00,2018-11-12 21:21:00,0,NA,2701,"Saturday",-720,1260
"90",2017-11-19,"WN",6275,11433,11292,82,2018-11-12 19:50:00,2018-11-12 19:46:00,2018-11-12 21:05:00,2018-11-12 20:37:00,0,NA,1123,"Sunday",-240,-1680
"91",2017-11-13,"WN",538,13232,14107,81,2018-11-12 12:15:00,2018-11-12 12:20:00,2018-11-12 15:10:00,2018-11-12 15:07:00,0,NA,1444,"Monday",300,-180
"92",2017-11-09,"OO",4672,10800,14869,87,2018-11-12 07:10:00,2018-11-12 06:59:00,2018-11-12 10:12:00,2018-11-12 09:44:00,0,NA,574,"Thursday",-660,-1680
"93",2017-10-03,"DL",2263,11433,14747,93,2018-11-12 17:50:00,2018-11-12 17:48:00,2018-11-12 19:53:00,2018-11-12 19:19:00,0,NA,1927,"Tuesday",-120,-2040
"94",2017-10-25,"DL",672,14747,14869,87,2018-11-12 07:30:00,2018-11-12 07:24:00,2018-11-12 10:28:00,2018-11-12 10:08:00,0,NA,689,"Wednesday",-360,-1200
"95",2017-10-13,"AA",797,14100,12892,91,2018-11-12 13:00:00,2018-11-12 12:58:00,2018-11-12 15:51:00,2018-11-12 15:44:00,0,NA,2402,"Friday",-120,-420
"96",2017-10-25,"UA",964,13930,14524,38,2018-11-12 17:40:00,2018-11-12 17:35:00,2018-11-12 20:50:00,2018-11-12 20:28:00,0,NA,642,"Wednesday",-300,-1320
"97",2017-11-02,"OO",4882,13487,14633,63,2018-11-12 11:21:00,2018-11-12 11:21:00,2018-11-12 12:10:00,2018-11-12 12:16:00,0,NA,76,"Thursday",0,360
"98",2017-11-25,"AA",610,11298,11278,38,2018-11-12 18:40:00,2018-11-12 18:44:00,2018-11-12 22:30:00,2018-11-12 22:32:00,0,NA,1192,"Saturday",240,120
"99",2017-12-25,"WN",5887,12892,12889,85,2018-11-12 14:55:00,2018-11-12 14:51:00,2018-11-12 16:00:00,2018-11-12 15:54:00,0,NA,236,"Monday",-240,-360
"100",2017-10-20,"WN",1533,12953,12191,74,2018-11-12 06:20:00,2018-11-12 06:18:00,2018-11-12 09:10:00,2018-11-12 09:04:00,0,NA,1428,"Friday",-120,-360
"101",2017-11-09,"AA",2580,12892,13495,72,2018-11-12 11:25:00,2018-11-12 11:25:00,2018-11-12 17:09:00,2018-11-12 16:55:00,0,NA,1670,"Thursday",0,-840
"102",2017-10-26,"DL",2012,10397,13930,41,2018-11-12 07:25:00,2018-11-12 07:25:00,2018-11-12 08:25:00,2018-11-12 08:20:00,0,NA,606,"Thursday",0,-300
"103",2017-12-05,"WN",1638,10821,10397,34,2018-11-12 13:55:00,2018-11-12 13:47:00,2018-11-12 15:55:00,2018-11-12 15:37:00,0,NA,577,"Tuesday",-480,-1080
"104",2017-10-27,"DL",518,11995,10397,34,2018-11-12 18:59:00,2018-11-12 19:19:00,2018-11-12 20:24:00,2018-11-12 20:45:00,0,NA,306,"Friday",1200,1260
"105",2017-10-06,"AS",149,14831,12758,2,2018-11-12 07:45:00,2018-11-12 07:38:00,2018-11-12 10:11:00,2018-11-12 10:00:00,0,NA,2384,"Friday",-420,-660
"106",2017-12-29,"WN",5288,13891,13796,91,2018-11-12 22:45:00,2018-11-12 22:53:00,2018-11-12 00:05:00,2018-11-12 23:57:00,0,NA,362,"Friday",480,85920
"107",2017-11-26,"UA",250,14057,12264,38,2018-11-12 07:55:00,2018-11-12 07:42:00,2018-11-12 15:46:00,2018-11-12 15:24:00,0,NA,2327,"Sunday",-780,-1320
"108",2017-12-11,"B6",1237,10721,11433,43,2018-11-12 16:05:00,2018-11-12 16:04:00,2018-11-12 18:21:00,2018-11-12 18:25:00,0,NA,632,"Monday",-60,240
"109",2017-11-13,"OO",3451,14252,14747,93,2018-11-12 05:12:00,2018-11-12 05:08:00,2018-11-12 06:11:00,2018-11-12 06:43:00,0,NA,172,"Monday",-240,1920
"110",2017-12-14,"WN",6013,12889,14908,91,2018-11-12 15:10:00,2018-11-12 15:25:00,2018-11-12 16:10:00,2018-11-12 16:16:00,0,NA,226,"Thursday",900,360
"111",2017-11-14,"AA",2763,10994,11298,74,2018-11-12 08:00:00,2018-11-12 07:55:00,2018-11-12 10:15:00,2018-11-12 09:57:00,0,NA,987,"Tuesday",-300,-1080
"112",2017-10-05,"WN",1551,13232,15016,64,2018-11-12 15:55:00,2018-11-12 16:18:00,2018-11-12 17:00:00,2018-11-12 17:16:00,0,NA,251,"Thursday",1380,960
"113",2017-10-24,"UA",1850,13930,11042,44,2018-11-12 13:45:00,2018-11-12 13:40:00,2018-11-12 16:08:00,2018-11-12 15:49:00,0,NA,316,"Tuesday",-300,-1140
"114",2017-11-07,"WN",714,13198,13232,41,2018-11-12 22:55:00,2018-11-12 22:56:00,2018-11-12 00:15:00,2018-11-12 00:13:00,0,NA,405,"Tuesday",60,-120
"115",2017-10-11,"AA",1935,11057,14492,36,2018-11-12 09:30:00,2018-11-12 09:24:00,2018-11-12 10:24:00,2018-11-12 10:15:00,0,NA,130,"Wednesday",-360,-540
"116",2017-11-17,"OO",4479,11042,10529,11,2018-11-12 19:08:00,2018-11-12 19:19:00,2018-11-12 20:37:00,2018-11-12 20:43:00,0,NA,476,"Friday",660,360
"117",2017-12-21,"HA",8,12173,12889,85,2018-11-12 22:55:00,2018-11-12 22:48:00,2018-11-12 06:35:00,2018-11-12 06:26:00,0,NA,2762,"Thursday",-420,-540
"118",2017-11-18,"OO",7383,11122,14869,87,2018-11-12 11:46:00,2018-11-12 11:34:00,2018-11-12 13:09:00,2018-11-12 12:53:00,0,NA,320,"Saturday",-720,-960
"119",2017-12-13,"UA",2133,13930,12889,85,2018-11-12 08:59:00,2018-11-12 09:01:00,2018-11-12 11:05:00,2018-11-12 10:47:00,0,NA,1514,"Wednesday",120,-1080
"120",2017-12-31,"NK",917,12953,11298,74,2018-11-12 13:29:00,2018-11-12 13:43:00,2018-11-12 16:43:00,2018-11-12 16:59:00,0,NA,1389,"Sunday",840,960
"121",2017-10-31,"WN",4954,12889,14570,85,2018-11-12 18:00:00,2018-11-12 17:59:00,2018-11-12 19:20:00,2018-11-12 19:07:00,0,NA,345,"Tuesday",-60,-780
"122",2017-10-15,"DL",705,10397,12945,52,2018-11-12 20:27:00,2018-11-12 20:25:00,2018-11-12 21:40:00,2018-11-12 21:34:00,0,NA,304,"Sunday",-120,-360
"123",2017-12-04,"OO",5014,13891,14771,91,2018-11-12 05:00:00,2018-11-12 05:05:00,2018-11-12 06:36:00,2018-11-12 06:33:00,0,NA,363,"Monday",300,-180
"124",2017-12-20,"WN",6969,11066,13204,33,2018-11-12 20:10:00,2018-11-12 21:02:00,2018-11-12 22:20:00,2018-11-12 23:01:00,0,NA,802,"Wednesday",3120,2460
"125",2017-12-13,"AA",2442,12892,13930,41,2018-11-12 06:15:00,2018-11-12 06:16:00,2018-11-12 12:23:00,2018-11-12 12:19:00,0,NA,1744,"Wednesday",60,-240
"126",2017-10-01,"WN",6225,14683,12191,74,2018-11-12 08:55:00,2018-11-12 08:50:00,2018-11-12 09:50:00,2018-11-12 09:36:00,0,NA,192,"Sunday",-300,-840
"127",2017-10-29,"DL",2501,10397,11298,74,2018-11-12 15:10:00,2018-11-12 15:50:00,2018-11-12 16:33:00,2018-11-12 17:02:00,0,NA,731,"Sunday",2400,1740
"128",2017-12-29,"WN",892,10713,11884,93,2018-11-12 17:35:00,2018-11-12 17:49:00,2018-11-12 17:40:00,2018-11-12 17:49:00,0,NA,287,"Friday",840,540
"129",2017-11-25,"OO",5574,13930,14696,42,2018-11-12 08:55:00,2018-11-12 08:46:00,2018-11-12 10:49:00,2018-11-12 10:33:00,0,NA,84,"Saturday",-540,-960
"130",2017-12-11,"NK",470,11298,11697,33,2018-11-12 17:57:00,2018-11-12 17:52:00,2018-11-12 21:40:00,2018-11-12 21:22:00,0,NA,1119,"Monday",-300,-1080
"131",2017-12-26,"OO",3540,11433,13184,43,2018-11-12 19:55:00,2018-11-12 20:24:00,2018-11-12 21:00:00,2018-11-12 21:09:00,0,NA,98,"Tuesday",1740,540
"132",2017-11-14,"AA",2565,15370,11057,36,2018-11-12 07:00:00,2018-11-12 06:57:00,2018-11-12 10:28:00,2018-11-12 10:17:00,0,NA,842,"Tuesday",-180,-660
"133",2017-11-15,"WN",1877,14771,12889,85,2018-11-12 08:05:00,2018-11-12 08:00:00,2018-11-12 09:35:00,2018-11-12 09:27:00,0,NA,414,"Wednesday",-300,-480
"134",2017-10-25,"UA",2401,11292,11066,44,2018-11-12 17:41:00,2018-11-12 17:32:00,2018-11-12 22:26:00,2018-11-12 22:13:00,0,NA,1154,"Wednesday",-540,-780
"135",2017-12-15,"EV",5608,10397,14783,64,2018-11-12 19:59:00,2018-11-12 19:55:00,2018-11-12 21:04:00,2018-11-12 20:48:00,0,NA,563,"Friday",-240,-960
"136",2017-12-26,"WN",5992,12953,15016,64,2018-11-12 14:15:00,2018-11-12 14:13:00,2018-11-12 16:05:00,2018-11-12 15:53:00,0,NA,888,"Tuesday",-120,-720
"137",2017-12-03,"DL",356,10397,13487,63,2018-11-12 21:00:00,2018-11-12 20:54:00,2018-11-12 22:40:00,2018-11-12 22:25:00,0,NA,907,"Sunday",-360,-900
"138",2017-12-12,"DL",1657,14869,11884,93,2018-11-12 22:16:00,2018-11-12 22:11:00,2018-11-12 23:21:00,2018-11-12 23:22:00,0,NA,546,"Tuesday",-300,60
"139",2017-10-16,"NK",259,10158,11697,33,2018-11-12 07:00:00,2018-11-12 06:52:00,2018-11-12 09:42:00,2018-11-12 09:26:00,0,NA,977,"Monday",-480,-960
"140",2017-10-23,"AA",2066,11057,12953,22,2018-11-12 13:05:00,2018-11-12 13:04:00,2018-11-12 15:00:00,2018-11-12 14:55:00,0,NA,544,"Monday",-60,-300
"141",2017-12-25,"AA",2585,14492,13303,33,2018-11-12 18:20:00,2018-11-12 18:22:00,2018-11-12 20:36:00,2018-11-12 20:37:00,0,NA,700,"Monday",120,60
"142",2017-10-24,"B6",814,11697,12197,22,2018-11-12 20:07:00,2018-11-12 20:04:00,2018-11-12 23:00:00,2018-11-12 23:05:00,0,NA,1097,"Tuesday",-180,300
"143",2017-12-25,"DL",1579,14679,10397,34,2018-11-12 12:57:00,2018-11-12 12:53:00,2018-11-12 20:12:00,2018-11-12 19:42:00,0,NA,1892,"Monday",-240,-1800
"144",2017-11-21,"OO",4522,11977,13487,63,2018-11-12 17:20:00,2018-11-12 17:11:00,2018-11-12 18:44:00,2018-11-12 18:15:00,0,NA,252,"Tuesday",-540,-1740
